id_cliente;nome_fantasia;tipo_profissional;bairro;zona;cep;latitude;longitude;canal_venda;data_cadastro;data_ultima_compra;qtd_pedidos_12m;faturamento_12m;ja_visitado;obs_visita
CLI-0031;Harmonia Clínica Nutricional;Nutricionista;Osasco;Oeste (fora RMSP central);08658-321;-23.524426;-46.774521;Loja Física;2024-02-16;2024-11-17;27;21433;Não;
CLI-0009;BemStar Nutrição;Nutricionista;Lapa;Oeste;05443-666;-23.538385;-46.709683;Loja Física;2025-07-17;;0;0;Não;
CLI-0033;Movimento Studio Fitness;Academia / Personal Trainer;São Bernardo do Campo;Sul (ABC);06592-445;-23.684431;-46.568173;Distribuidor;2023-10-29;2024-12-25;3;21634;Não;
CLI-0034;Pura Distribuidora;Distribuidor de Suplementos;São Miguel Paulista;Leste;;-23.494697;-46.432815;Marketplace;2024-12-29;;0;0;Não;
CLI-0035;Prisma Nutrição;Nutricionista;Vila Ré;Leste;02718-738;-23.526459;-46.490833;Distribuidor;2024-11-12;;0;0;Não;
CLI-0036;BemStar House Nutrition;Loja de Suplementos;Santo Amaro;Sul;08632-045;-23.647970;-46.694527;distribuidor;2024-10-16;2024-10-23;16;40316;Sim;Aumentou pedido
CLI-0037;Origem Treinamento Funcional;Academia / Personal Trainer;Osasco;Oeste (fora RMSP central);06172-224;-23.517331;-46.808038;Marketplace;2025-03-05;;0;0;Não;
CLI-0038;Movimento Nutrição;Nutricionista;vila mariana  ;Sul;01372-819;-23.583812;-46.636861;Distribuidor;2024-11-18;;0;0;Não;
CLI-0039;Raiz Academia;Academia / Personal Trainer;São Miguel Paulista;Leste;;-23.508839;-46.437586;Loja Física;2024-08-28;2026-02-07;13;29846;Não;
CLI-0040;Alma Clínica de Estética;Clínica Estética;Tatuapé;Leste;06406-200;-23.557928;-46.592925;Marketplace;2026-01-01;2024-09-12;22;59897;Sim;Retorno positivo
CLI-0041;Vitalis Estética;Clínica Estética;Osasco;Oeste (fora RMSP central);;-23.516871;-46.801081;Distribuidor;2026-03-24;;0;0;Não;
CLI-0042;Prisma Nutrição;Nutricionista;Perus;Norte (fora RMSP central);02130-854;-23.398254;-46.753605;Indicação;2024-05-07;2024-11-21;30;107;Não;
CLI-0043;Vitalis House Nutrition;Loja de Suplementos;Itaquera;Leste;05963-432;-23.521202;-46.460921;Loja Física;2024-06-02;2025-07-29;2;9514;Não;
CLI-0044;Origem Farmácia;Farmácia;Santo André;Sul (ABC);06752-663;-23.663652;-46.531433;Marketplace;2024-08-20;2025-05-25;7;7108;Não;
CLI-0045;Foco Farmácia de Manipulação;Farmácia;moema  ;Sul;06949-300;-23.598685;-46.648352;Loja Física;2024-11-16;2025-06-09;25;35916;Sim;Aumentou pedido
CLI-0046;Prisma Consultório Médico;Consultório Médico;Jabaquara;Sul;07848-843;-23.633120;-46.659179;Indicação;2025-08-12;2026-04-08;8;746;Sim;Retorno positivo
CLI-0047;Alma Clínica Nutricional;Nutricionista;ipiranga  ;Sul;05735-585;-23.589740;-46.623952;Indicação;2025-07-20;2025-09-21;30;85235;Sim;Aumentou pedido
CLI-0048;Pura Clínica de Estética;Clínica Estética;Guarulhos;Norte (fora RMSP central);05761-128;-23.456363;-46.531050;Distribuidor;2026-04-07;2024-09-26;2;635;Não;
CLI-0049;Alma Espaço Estético;Clínica Estética;Guaianases;Leste;01543-972;-23.563072;-46.398121;Marketplace;2025-09-30;;0;0;Não;
CLI-0050;Viva Distribuidora;Distribuidor de Suplementos;Itaquaquecetuba;Leste (fora RMSP central);05878-104;-23.493801;-46.354535;Distribuidor;2025-07-01;2025-11-13;1;8917;Não;
CLI-0051;Foco House Nutrition;Loja de Suplementos;Sé;Centro;04841-638;-23.532877;-46.633871;Distribuidor;2024-07-25;2025-06-29;19;47420;Sim;Sem retorno
CLI-0052;Pura Academia;Academia / Personal Trainer;Itaquaquecetuba;Leste (fora RMSP central);02995-806;-23.481812;-46.357116;Indicação;2024-03-27;;0;0;Não;
CLI-0053;Bioforma Farmácia de Manipulação;Farmácia;Lapa;Oeste;01192-917;-23.545106;-46.716264;Marketplace;2025-11-17;2024-07-26;28;7554;Sim;Aumentou pedido
CLI-0054;Vitalis Clínica de Estética;Clínica Estética;Tatuapé;Leste;05445-459;-23.522819;-46.591003;Loja Física;2025-10-01;2024-09-26;14;1530;Não;
CLI-0055;Cuidar Sports Nutrition;Loja de Suplementos;diadema  ;Sul (ABC);05606-854;-23.679704;-46.635124;Indicação;2026-02-19;;0;0;Não;
CLI-0056;Pura House Nutrition;Loja de Suplementos;Vila Ré;Leste;05709-476;-23.541199;-46.497394;Marketplace;2024-05-30;;0;0;Não;
CLI-0057;Foco Treinamento Funcional;Academia / Personal Trainer;Diadema;Sul (ABC);02974-081;-23.670170;-46.618227;Indicação;2024-04-12;2024-12-05;26;400;Não;
CLI-0058;Saúde Plena House Nutrition;Loja de Suplementos;Bela Vista;Centro;02924-940;-23.545273;-46.669145;Indicação;2026-06-10;;0;0;Não;
CLI-0059;Cuidar Distribuidora;Distribuidor de Suplementos;Lapa;Oeste;04743-876;-23.517663;-46.719068;Loja Física;2023-10-29;;0;0;Não;
CLI-0060;Ápice Consultório de Nutrição;Nutricionista;Jabaquara;Sul;03992-300;-23.663094;-46.653952;Distribuidor;2023-09-15;2024-11-15;17;281;Sim;Aumentou pedido
CLI-0061;Equilíbrio Estética;Clínica Estética;Moema;Sul;08847-253;-23.605843;-46.666559;Distribuidor;2024-07-03;2025-08-15;15;20917;Não;
CLI-0062;Bioforma Academia;Academia / Personal Trainer;Moema;Sul;03565-891;-23.604487;-46.674122;Distribuidor;2025-10-07;2025-11-05;18;21453;Não;
CLI-0063;Cuidar Distribuidora;Distribuidor de Suplementos;Guarulhos;Norte (fora RMSP central);05367-768;-23.447859;-46.549126;Marketplace;2025-05-19;2025-05-09;6;4881;Sim;
CLI-0064;Vitalis Consultório de Nutrição;Nutricionista;Tatuapé;Leste;01092-445;-23.540834;-46.581112;Loja Física;2026-02-09;2025-02-13;20;28325;Não;
CLI-0065;Raiz House Nutrition;Loja de Suplementos;Carapicuíba;Oeste (fora RMSP central);08438-703;-23.520681;-46.853711;Loja Física;2025-06-02;2024-12-05;29;750;Sim;Aumentou pedido
CLI-0066;Equilíbrio Espaço Estético;Clínica Estética;Santo Amaro;Sul;;-23.654430;-46.698104;Distribuidor;2025-03-24;2024-12-03;4;1134;Não;
CLI-0067;Ápice Nutrição;Nutricionista;Santana;Norte;01620-414;-23.519152;-46.623787;Marketplace ;2026-04-24;2024-10-07;29;22603;Não;
CLI-0068;Ápice Consultório Médico;Consultório Médico;Perus;Norte (fora RMSP central);06607-055;-23.405799;-46.746129;Indicação;2025-10-14;;0;0;Não;
CLI-0069;Pura Treinamento Funcional;Academia / Personal Trainer;Santo André;Sul (ABC);04705-106;-23.653946;-46.538865;Distribuidor;2025-04-26;2025-08-24;1;364;Não;
CLI-0070;Harmonia Sports Nutrition;Loja de Suplementos;Mogi das Cruzes;Leste (fora RMSP central);07944-867;-23.513418;-46.175936;Loja Física;2025-04-30;2026-03-22;3;64;Não;
CLI-0071;Nutrivida Clínica Nutricional;Nutricionista;Lapa;Oeste;08151-819;-23.538284;-46.686970;Loja Física;2024-08-16;;0;0;Não;
CLI-0072;Movimento House Nutrition;Loja de Suplementos;Tatuapé;Leste;01989-468;-23.527489;-46.569538;Loja Física;2023-11-27;;0;0;Não;
CLI-0073;Alma Academia;Academia / Personal Trainer;Campo Belo;Sul;04483-948;-23.637333;-46.656842;Indicação;2023-08-25;2025-04-02;27;5668;Sim;Retorno positivo
CLI-0074;Novo Ciclo Suplementos;Loja de Suplementos;Vila Mariana;Sul;05167-179;-23.578011;-46.653274;Distribuidor;2024-04-09;2025-07-18;2;30934;Não;
CLI-0075;Cuidar Nutrição;Nutricionista;moema  ;Sul;08068-877;-23.612789;-46.649632;Distribuidor;2025-08-13;2025-01-27;25;6220;Não;
CLI-0076;Viva Studio Fitness;Academia / Personal Trainer;São Miguel Paulista;Leste;03262-578;-23.509415;-46.431200;Indicação;2025-08-06;2024-10-21;30;8918;Sim;
CLI-0070;Viva Studio Fitness;Academia / Personal Trainer;Liberdade;Centro;05446-612;-23.546871;-46.652957;Distribuidor;2024-06-12;2024-12-18;3;722;Não;
CLI-0041;Raiz Clínica de Estética;Clínica Estética;Tucuruvi;Norte;08583-545;-23.467419;-46.590906;Indicação;2025-08-15;2026-04-23;26;30312;Não;
CLI-0079;Origem Farmácia;Farmácia;Tatuapé;Leste;07938-221;-23.554592;-46.564558;Distribuidor;2024-09-11;2024-09-06;11;13747;Não;
CLI-0080;BemStar Atacado de Suplementos;Distribuidor de Suplementos;Santo André;Sul (ABC);03425-357;-23.679522;-46.543035;Loja Física;2023-08-26;2026-03-01;29;1018;Não;
CLI-0081;Harmonia Sports Nutrition;Loja de Suplementos;são bernardo do campo  ;Sul (ABC);02869-686;-23.705868;-46.548648;Loja Física;2023-08-06;2025-11-08;24;341;Sim;Aumentou pedido
CLI-0082;Prisma Espaço Estético;Clínica Estética;Pinheiros;Oeste;04911-034;-23.566160;-46.705296;Marketplace;2025-07-02;2025-06-02;9;1024;Sim;
CLI-0083;Cuidar Suplementos;Loja de Suplementos;Moema;Sul;02064-207;-23.604836;-46.676652;Marketplace;2025-02-19;2026-03-02;16;66784;Sim;Retorno positivo
CLI-0084;Vitalis Distribuidora;Distribuidor de Suplementos;Moema;Sul;04758-822;-23.589472;-46.648147;Indicação;2026-02-20;2025-04-16;15;41820;Sim;Aumentou pedido
CLI-0085;Harmonia Atacado de Suplementos;Distribuidor de Suplementos;Ipiranga;Sul;04082-824;-23.582753;-46.591930;Distribuidor;2026-03-13;;0;0;Não;
CLI-0086;Renove Estética;Clínica Estética;Tatuapé;Leste;03295-637;-23.539129;-46.588704;Loja Física;2024-11-19;2024-08-31;19;7883;Sim;
CLI-0087;Cuidar Suplementos;Loja de Suplementos;Perus;Norte (fora RMSP central);01623-564;-23.378564;-46.757445;Indicação;2025-02-28;2024-07-17;27;23953;Não;
CLI-0088;Bioforma Consultório de Nutrição;Nutricionista;Jabaquara;Sul;02544-709;-23.635263;-46.631750;Loja Física;2024-01-05;2024-12-24;23;3523;Não;
CLI-0089;Saúde Plena Espaço Estético;Clínica Estética;Santo André;Sul (ABC);06395-871;-23.679793;-46.550724;Indicação;2024-05-25;2026-04-05;18;8015;Não;
CLI-0090;Nutrivida Drogaria;Farmácia;Liberdade;Centro;06753-106;-23.557515;-46.636517;Marketplace;2025-12-28;2026-05-12;14;3396;Não;
CLI-0091;Origem Studio Fitness;Academia / Personal Trainer;Jabaquara;Sul;08631-045;-23.645549;-46.649017;Loja Física;2026-03-07;2024-10-04;2;10044;Sim;Retorno positivo
CLI-0092;Equilíbrio Consultório de Nutrição;Nutricionista;jabaquara  ;Sul;02579-987;-23.631977;-46.633872;Loja Física;2026-02-20;2024-10-13;29;108770;Sim;Aumentou pedido
CLI-0093;Origem Suplementos;Loja de Suplementos;Ipiranga;Sul;06793-610;-23.599828;-46.601183;Loja Física;2024-07-02;2025-10-25;10;2515;Sim;Aumentou pedido
CLI-0094;Essência Distribuidora;Distribuidor de Suplementos;Guaianases;Leste;08193-995;-23.556588;-46.416709;Marketplace;2023-10-16;2025-12-26;28;4391;Não;
CLI-0095;Nutrivida Sports Nutrition;Loja de Suplementos;Santo André;Sul (ABC);01114-634;-23.648864;-46.541965;Distribuidor;2026-04-02;2026-04-21;4;34006;Não;
CLI-0096;Renove Clínica Médica;Consultório Médico;Osasco;Oeste (fora RMSP central);;-23.541775;-46.804134;Marketplace;2024-11-26;2026-06-01;1;13094;Não;
CLI-0097;Harmonia Nutrição;Nutricionista;São Bernardo do Campo;Sul (ABC);06123-548;-23.683110;-46.563435;Loja Física;2023-11-09;2024-12-25;18;28612;Sim;
CLI-0098;Essência Drogaria;Farmácia;São Miguel Paulista;Leste;06182-742;-23.505804;-46.458197;Indicacao;2025-02-05;2025-12-19;28;3579;Não;
CLI-0099;Origem Clínica Médica;Consultório Médico;Moema;Sul;06980-746;-23.607952;-46.671464;Indicação;2025-12-05;2026-05-17;27;77857;Sim;Retorno positivo
CLI-0100;Bioforma Atacado de Suplementos;Distribuidor de Suplementos;São Miguel Paulista;Leste;02956-333;-23.490963;-46.430178;Distribuidor;2024-02-20;2025-02-21;22;45454;Não;
CLI-0101;Alma Distribuidora;Distribuidor de Suplementos;Santo Amaro;Sul;01367-981;-23.640240;-46.708840;Distribuidor;2026-01-09;2025-09-14;23;20374;Não;
CLI-0102;Nutrivida House Nutrition;Loja de Suplementos;Moema;Sul;03032-104;-23.598119;-46.672742;Distribuidor;2026-05-29;2026-06-12;8;1957;Não;
CLI-0103;Bioforma Drogaria;Farmácia;Mogi das Cruzes;Leste (fora RMSP central);04792-146;-23.511862;-46.196338;Distribuidor;2024-12-16;2025-10-25;11;13508;Não;
CLI-0104;Essência Espaço Estético;Clínica Estética;Guaianases;Leste;06773-436;-23.554674;-46.414730;Loja Física;2023-11-26;2025-07-24;19;126;Não;
CLI-0105;Origem Farmácia;Farmácia;campo belo  ;Sul;05281-008;-23.637618;-46.660016;Indicação;2024-05-31;2025-04-17;17;13996;Não;
CLI-0106;Movimento Farmácia;Farmácia;São Bernardo do Campo;Sul (ABC);07399-049;-23.678194;-46.553772;Indicação;2026-03-30;;0;0;Não;
CLI-0107;Nutrivida Consultório Médico;Consultório Médico;Ipiranga;Sul;05094-263;-23.605596;-46.626960;Indicação;2025-10-27;2026-06-10;7;21408;Sim;Aumentou pedido
CLI-0108;Bioforma Academia;Academia / Personal Trainer;Campo Belo;Sul;05792-798;-23.628556;-46.683619;Loja Física;2025-04-05;2025-03-25;12;42611;Não;
CLI-0109;Bioforma Atacado de Suplementos;Distribuidor de Suplementos;Cotia;Oeste (fora RMSP central);06740-100;-23.620949;-46.926766;Distribuidor;2025-07-20;;0;0;Não;
CLI-0110;Origem Clínica de Estética;Clínica Estética;Vila Ré;Leste;07211-157;-23.514777;-46.504067;Marketplace;2025-03-04;2025-08-18;12;106;Não;
CLI-0111;Foco Nutrição;Nutricionista;Jabaquara;Sul;05068-779;-23.663613;-46.653835;Distribuidor;2025-07-28;2024-09-23;21;5018;Sim;Retorno positivo
CLI-0112;Foco Distribuidora;Distribuidor de Suplementos;pinheiros  ;Oeste;03867-298;-23.552024;-46.710618;Indicação;2025-11-29;2025-11-30;5;172;Sim;
CLI-0113;Viva Academia;Academia / Personal Trainer;São Bernardo do Campo;Sul (ABC);06779-869;-23.709385;-46.566207;Indicação;2023-09-13;2026-01-04;13;101;Sim;Aumentou pedido
CLI-0114;Alma Atacado de Suplementos;Distribuidor de Suplementos;Tucuruvi;Norte;07260-431;-23.489310;-46.594924;Indicação;2026-05-09;;0;0;Não;
CLI-0115;Raiz House Nutrition;Loja de Suplementos;Perus;Norte (fora RMSP central);06307-694;-23.377918;-46.726421;Distribuidor;2025-02-23;2024-12-15;24;82924;Não;
CLI-0116;Essência Suplementos;Loja de Suplementos;Santo Amaro;Sul;;-23.644325;-46.703239;Marketplace;2024-07-10;2024-11-08;6;17331;Sim;Retorno positivo
CLI-0117;Foco Sports Nutrition;Loja de Suplementos;Campo Belo;Sul;04747-436;-23.603515;-46.657136;Indicação;2025-10-31;2025-05-04;3;31271;Sim;Sem retorno
CLI-0118;Essência Suplementos;Loja de Suplementos;Carapicuíba;Oeste (fora RMSP central);02527-878;-23.527452;-46.853164;Loja Física;2024-12-15;2025-11-16;14;55919;Não;
CLI-0119;Bioforma Suplementos;Loja de Suplementos;Tatuapé;Leste;06426-558;-23.531332;-46.566554;Distribuidor;2026-06-23;;0;0;Não;
CLI-0120;Raiz Sports Nutrition;Loja de Suplementos;Santana;Norte;;-23.499752;-46.641678;Loja Física;2025-05-01;2025-03-19;4;149;Sim;Sem retorno
CLI-0121;BemStar Atacado de Suplementos;Distribuidor de Suplementos;Vila Mariana;Sul;;-23.584038;-46.638318;Marketplace;2025-11-20;2025-05-15;3;32882;Sim;
CLI-0122;Alma Farmácia de Manipulação;Farmácia;Jabaquara;Sul;05348-774;-23.629134;-46.645973;Distribuidor;2026-02-05;2025-11-18;7;9631;Não;
CLI-0123;Cuidar Distribuidora;Distribuidor de Suplementos;Perus;Norte (fora RMSP central);04115-199;-23.401833;-46.729215;Indicação;2025-07-04;;0;0;Não;
CLI-0072;Pura Sports Nutrition;Loja de Suplementos;Mogi das Cruzes;Leste (fora RMSP central);;-23.540750;-46.181408;Marketplace;2024-11-09;2024-10-31;13;657;Não;
CLI-0125;Viva Consultório de Nutrição;Nutricionista;Itaquaquecetuba;Leste (fora RMSP central);;-23.477735;-46.352605;Loja Física;2024-11-22;2024-07-16;16;13167;Não;
CLI-0126;Ápice Clínica Médica;Consultório Médico;Mogi das Cruzes;Leste (fora RMSP central);03246-372;-23.523895;-46.201378;Indicação;2025-04-30;2024-08-18;8;8204;Não;
CLI-0127;Nutrivida Consultório Médico;Consultório Médico;Carapicuíba;Oeste (fora RMSP central);05427-094;-23.514726;-46.835164;Loja Física;2024-05-11;2026-05-06;24;484;Não;
CLI-0128;Bioforma Drogaria;Farmácia;Moema;Sul;02159-251;-23.603780;-46.653164;Distribuidor;2024-10-05;;0;0;Não;
CLI-0129;Vitalis Estética;Clínica Estética;Vila Mariana;Sul;07308-427;-23.597071;-46.641028;Marketplace ;2025-06-21;2024-09-29;18;901;Sim;
CLI-0130;Harmonia Studio Fitness;Academia / Personal Trainer;Guarulhos;Norte (fora RMSP central);01005-809;-23.450343;-46.518472;Distribuidor;2024-01-20;2024-11-08;29;1363;Não;
CLI-0131;Foco Suplementos;Loja de Suplementos;Itaquera;Leste;03060-514;-23.531467;-46.452342;Indicação;2026-01-04;2026-03-08;15;4876;Não;
CLI-0132;Cuidar Espaço Estético;Clínica Estética;Osasco;Oeste (fora RMSP central);01615-700;-23.521466;-46.800830;Loja Física;2023-08-28;;0;0;Não;
CLI-0133;Cuidar Sports Nutrition;Loja de Suplementos;Liberdade;Centro;08900-681;-23.573183;-46.633114;Marketplace;2024-04-06;2025-09-09;30;72140;Sim;Aumentou pedido
CLI-0134;Equilíbrio Sports Nutrition;Loja de Suplementos;Guarulhos;Norte (fora RMSP central);02195-971;-23.470046;-46.525907;Indicação;2026-03-16;2025-08-23;2;16314;Não;
CLI-0135;BemStar Drogaria;Farmácia;Itaquaquecetuba;Leste (fora RMSP central);06808-699;-23.500900;-46.355719;Indicação;2025-12-06;2026-01-30;21;57268;Não;
CLI-0136;Foco Clínica Médica;Consultório Médico;Mogi das Cruzes;Leste (fora RMSP central);04016-098;-23.522452;-46.191989;Loja Física;2025-05-29;2025-06-04;16;3980;Não;
CLI-0137;Cuidar Sports Nutrition;Loja de Suplementos;Jabaquara;Sul;04925-555;-23.642532;-46.639299;Loja Física;2023-07-07;2025-10-09;11;6847;Não;
CLI-0138;Essência Suplementos;Loja de Suplementos;Campo Belo;Sul;03703-170;-23.614899;-46.673594;Indicação;2024-06-19;2025-12-30;6;26256;Sim;Aumentou pedido
CLI-0139;Movimento Espaço Estético;Clínica Estética;Itaquaquecetuba;Leste (fora RMSP central);05698-795;-23.474726;-46.344522;Marketplace;2024-05-04;2026-01-12;8;23885;Sim;Retorno positivo
CLI-0140;BemStar Suplementos;Loja de Suplementos;Ipiranga;Sul;06134-350;-23.579588;-46.615258;Distribuidor;2025-09-15;;0;0;Não;
CLI-0141;Saúde Plena Distribuidora;Distribuidor de Suplementos;Santana;Norte;02673-359;-23.504699;-46.644211;Indicação;2024-11-26;;0;0;Não;
CLI-0142;Viva Estética;Clínica Estética;Bela Vista;Centro;06345-146;-23.579726;-46.662829;Loja Física;2024-02-01;2024-11-11;7;681;Não;
CLI-0143;BemStar Suplementos;Loja de Suplementos;Diadema;Sul (ABC);01964-805;-23.680701;-46.614177;Distribuidor;2023-09-21;2024-12-21;9;528;Não;
CLI-0144;Prisma Nutrição;Nutricionista;Perus;Norte (fora RMSP central);08104-599;-23.409946;-46.731178;Marketplace;2026-04-19;2025-07-18;30;74214;Sim;
CLI-0145;Raiz Academia;Academia / Personal Trainer;Lapa;Oeste;03447-587;-23.529638;-46.717061;Loja Física;2024-06-11;2025-12-30;25;26767;Não;
CLI-0146;Cuidar Nutrição;Nutricionista;Guaianases;Leste;07626-787;-23.549316;-46.409399;Distribuidor;2024-04-24;2025-10-09;2;9905;Não;
CLI-0147;Ápice Academia;Academia / Personal Trainer;Guaianases;Leste;06444-405;-23.530999;-46.423820;Distribuidor;2023-08-23;2025-10-17;28;23656;Não;
CLI-0148;BemStar Studio Fitness;Academia / Personal Trainer;Jabaquara;Sul;07582-264;-23.647126;-46.649645;Indicação;2024-11-24;;0;0;Não;
CLI-0149;Novo Ciclo Farmácia de Manipulação;Farmácia;Tatuapé;Leste;08374-183;-23.540309;-46.594671;Distribuidor;2026-04-25;;0;0;Não;
CLI-0150;Foco Academia;Academia / Personal Trainer;Santo Amaro;Sul;;-23.662947;-46.714485;Marketplace;2024-06-09;2025-10-25;1;4415;Sim;Sem retorno
CLI-0151;Equilíbrio Academia;Academia / Personal Trainer;Ipiranga;Sul;03197-178;-23.592430;-46.610220;Marketplace;2024-07-08;2024-10-07;10;17110;Não;
CLI-0152;Harmonia Estética;Clínica Estética;Bela Vista;Centro;05624-967;-23.549004;-46.645278;Indicação;2024-03-16;2025-02-04;22;32933;Não;
CLI-0153;Bioforma Clínica de Estética;Clínica Estética;Santana;Norte;03042-272;-23.517152;-46.622719;Marketplace;2025-01-26;2025-03-06;14;14977;Sim;Aumentou pedido
CLI-0154;Foco Farmácia de Manipulação;Farmácia;Carapicuíba;Oeste (fora RMSP central);06328-716;-23.530295;-46.844619;Marketplace;2024-06-04;2025-02-02;27;75205;Não;
CLI-0155;Foco Clínica Médica;Consultório Médico;Jabaquara;Sul;06546-055;-23.647215;-46.653432;Distribuidor;2024-03-02;2026-01-29;23;10651;Não;
CLI-0156;Cuidar House Nutrition;Loja de Suplementos;Vila Ré;Leste;07010-553;-23.520808;-46.490974;Indicação;2026-01-03;2026-06-25;18;216;Não;
CLI-0157;Cuidar Drogaria;Farmácia;Osasco;Oeste (fora RMSP central);06447-112;-23.549996;-46.785380;Marketplace;2025-08-04;2025-02-01;27;30150;Sim;Retorno positivo
